"","RNA1.1.t0.rep2","RNA1.1.t5.rep2","RNA1.1.t10.rep2","RNA1.1.t20.rep2"
"YAL054C",25,17,5,7
"YAL049C",343,261,100,123
"YAL046C",95,83,13,11
"YAL044C",631,599,236,182
"YAL043C",338,114,27,15
"YAL040C",244,65,17,14
"YAL039C",245,138,28,19
"YAL036C",713,436,89,19
"YAL034C",46,27,22,32
"YAL032C",65,26,16,20
"YAL031C",50,49,17,22
"YAL029C",326,194,56,49
"YAL026C-A/YAL026C",118,70,55,40
"YAL025C",642,221,48,50
"YAL024C",317,121,58,61
"YAL023C",1727,1168,434,165
"YAL022C",433,305,73,31
"YAL021C",191,99,35,27
"YAL020C",274,130,53,25
"YAL015C",104,71,24,26
"YAL014C",140,80,20,22
"YAL010C",32,12,5,2
"YAL007C",384,280,83,43
"YAL005C",12525,15778,4443,3951
"YAL001C",60,57,16,10
"YAR002C-A",751,665,309,203
"YAR007C",107,74,15,7
"YAR009C",970,671,448,396
"YAR010C",410,298,158,165
"YAR014C",172,126,42,31
"YAR018C",194,77,36,16
"YAR019C",67,31,10,18
"YAL062W",18,8,3,7
"YAL061W",25,23,12,8
"YAL060W",79,74,41,19
"YAL059W",82,33,5,6
"YAL058W",93,57,23,14
"YAL056W",24,22,9,10
"YAL055W",84,67,34,37
"YAL053W",242,149,60,42
"YAL051W",119,71,27,31
"YAL044W-A",237,146,68,65
"YAL042W",1897,1495,481,245
"YAL041W",310,62,22,28
"YAL038W",6139,5550,1852,1322
"YAL037W",26,50,20,5
"YAL035W",3715,2505,1127,917
"YAL034W-A",70,17,10,9
"YAL033W",145,102,18,11
"YAL030W",152,101,49,46
"YAL028W",16,42,28,15
"YAL027W",80,40,15,22
"YAL019W",186,119,40,30
"YAL017W",43,48,17,18
"YAL016W",374,238,81,26
"YAL013W",1269,673,168,180
"YAL012W",4000,3896,1902,1399
"YAL011W",108,37,25,14
"YAL009W",480,184,59,59
"YAL008W",96,81,33,12
"YAL003W",18504,12853,6479,4933
"YAL002W",140,135,66,43
"YAR002W",291,245,68,29
"YAR003W",40,17,11,7
"YAR008W",102,33,2,5
"YAR015W",287,212,111,72
"YAR027W",155,154,57,16
"YAR033W",108,47,14,13
"YAR035W",50,81,64,38
"YAR042W",252,184,126,92
"YAR068W",151,97,40,16
"YBL113C/YBL112C",45,26,11,17
"YBL107C",199,128,57,51
"YBL106C",123,89,32,33
"YBL105C",258,104,40,25
"YBL104C",154,51,37,26
"YBL101C",80,91,35,74
"YBL093C",206,81,18,5
"YBL091C-A",101,53,29,27
"YBL091C",1129,947,549,410
"YBL088C",74,127,137,69
"YBL087C",3720,3537,1461,1118
"YBL086C",53,36,36,32
"YBL084C",30,25,23,11
"YBL083C/YBL082C",407,242,66,31
"YBL080C",38,19,12,7
"YBL078C",9,27,35,49
"YBL076C",3419,2617,1262,601
"YBL075C",310,284,221,263
"YBL072C",6604,6283,2774,1993
"YBL067C",119,83,29,29
"YBL064C",174,211,104,120
"YBL061C",158,79,19,17
"YBL059C-A",110,69,19,4
"YBL057C",280,133,73,29
"YBL055C",58,38,22,14
"YBL052C",190,131,64,54
"YBL051C",45,30,18,27
"YBL047C",220,128,54,17
"YBL045C",194,105,42,43
"YBL042C",493,55,8,10
"YBL040C",283,194,53,19
"YBL039C/YBL039C-A",815,403,84,29
"YBL036C",540,316,74,50
"YBL035C",130,63,34,17
"YBL034C",40,42,22,27
"YBL033C",124,85,27,36
"YBL030C",543,434,174,70
"YBL029C-A",162,144,49,32
"YBL028C",319,170,26,14
"YBL023C",57,43,28,22
"YBL022C",543,275,56,41
"YBL021C",175,68,18,12
"YBL018C",104,31,8,11
"YBL017C",466,335,122,65
"YBL014C",146,66,23,23
"YBL010C",131,40,19,5
"YBL007C",271,188,89,69
"YBL006C",596,285,75,33
"YBL003C",2689,1436,279,185
"YBL001C",545,497,190,175
"YBR001C",110,67,36,33
"YBR002C",292,77,21,13
"YBR004C",132,96,18,26
"YBR007C",50,292,225,179
"YBR008C",39,176,187,129
"YBR009C",3809,1780,546,347
"YBR011C",3919,3412,1736,1436
"YBR012C",51,39,26,12
"YBR014C",400,348,132,72
"YBR015C",172,100,39,22
"YBR017C",420,285,108,47
"YBR023C",223,95,38,29
"YBR025C",3278,2928,1134,778
"YBR026C",138,129,56,36
"YBR028C",65,38,16,12
"YBR029C",343,136,44,33
"YBR034C",558,63,33,33
"YBR035C",515,469,215,88
"YBR036C",152,116,23,19
"YBR037C",327,112,30,13
"YBR042C",526,359,62,79
"YBR043C",193,53,26,19
"YBR044C",129,65,40,18
"YBR045C",24,22,13,9
"YBR046C",41,49,21,8
"YBR049C",229,127,41,48
"YBR050C",18,52,31,35
"YBR052C",314,292,135,69
"YBR053C",119,125,59,38
"YBR055C",378,181,60,53
"YBR057C",104,39,6,7
"YBR058C",77,67,17,11
"YBR058C-A",480,381,161,79
"YBR059C",305,209,82,42
"YBR060C",93,60,32,22
"YBR061C",153,75,34,16
"YBR062C",146,170,62,39
"YBR063C",322,166,120,103
"YBR066C",147,101,45,39
"YBR067C",404,559,270,205
"YBR068C",998,486,296,232
"YBR069C",562,226,74,47
"YBR070C",155,107,30,8
"YBR076C-A",113,55,23,12
"YBR077C",170,61,25,21
"YBR079C",1494,876,250,84
"YBR080C",292,187,81,31
"YBR081C",101,63,24,37
"YBR082C",1425,1708,607,433
"YBR084C-A",3488,2874,1140,700
"YBR085C-A",36,33,49,34
"YBR086C",594,343,83,115
"YBR088C",400,174,68,121
"YBR089C-A/YBR090C",361,287,108,64
"YBR091C",86,45,5,6
"YBR092C",599,319,124,38
"YBR093C",46,53,14,16
"YBR095C",123,54,13,12
"YBR099C",41,433,282,280
"YBR101C",706,443,139,121
"YBR102C",82,35,16,7
"YBR105C",64,89,72,49
"YBR109C",1430,1320,752,502
"YBR111C",465,364,184,101
"YBR112C",81,48,18,28
"YBR115C",727,291,102,44
"YBR116C/YBR117C",3,6,4,3
"YBR120C",116,28,11,13
"YBR121C/YBR121C-A",2286,1812,763,362
"YBR122C",576,356,101,65
"YBR125C",81,50,12,16
"YBR126C",303,407,162,168
"YBR127C",2297,1909,865,502
"YBR129C",89,35,8,10
"YBR130C",295,239,72,44
"YBR132C",21,43,20,13
"YBR133C",299,108,43,32
"YBR138C",36,15,4,6
"YBR140C",419,286,139,100
"YBR141C",61,12,2,3
"YBR143C",1785,1013,264,123
"YBR150C",397,303,83,164
"YBR154C",554,282,65,26
"YBR157C",19,10,17,8
"YBR162C",344,210,106,43
"YBR164C",379,264,86,37
"YBR166C",154,104,33,21
"YBR167C",56,17,0,2
"YBR169C",82,152,67,112
"YBR170C",142,32,21,18
"YBR172C",181,115,61,85
"YBR173C",624,510,160,50
"YBR177C",432,315,116,82
"YBR179C",190,56,18,19
"YBR181C",3329,2738,1269,739
"YBR185C",88,25,5,4
"YBR188C",102,71,18,8
"YBR195C",88,33,15,3
"YBR196C",3718,2993,1136,600
"YBR198C",232,116,31,21
"YBR204C",61,28,9,6
"YBR208C",117,73,37,23
"YBR211C",85,39,22,11
"YBR216C",55,22,8,6
"YBR218C",925,570,188,111
"YBR219C/YBR220C",268,201,76,55
"YBR221C",1030,922,469,307
"YBR222C",399,327,108,45
"YBR227C",149,109,30,17
"YBR229C",245,159,75,18
"YBR230C",217,265,107,74
"YBR231C",170,47,10,9
"YBR234C",1233,1178,473,398
"YBR236C",239,98,31,20
"YBR238C",44,55,36,27
"YBR239C",51,26,25,17
"YBR241C",47,51,17,11
"YBR243C",256,153,24,9
"YBR245C",226,122,28,13
"YBR247C",367,204,40,23
"YBR248C",348,251,85,24
"YBR249C",2137,1841,708,364
"YBR254C",259,138,19,9
"YBR255C-A",84,30,11,7
"YBR256C",473,333,134,88
"YBR260C",49,45,14,12
"YBR261C",441,303,124,40
"YBR262C",196,44,11,6
"YBR264C",147,42,9,13
"YBR269C",86,62,21,13
"YBR272C",114,52,13,6
"YBR273C",184,156,42,12
"YBR275C",505,336,124,150
"YBR276C",285,208,98,92
"YBR280C",10,9,9,2
"YBR281C",112,63,14,6
"YBR283C",1090,784,365,187
"YBR288C",197,100,15,14
"YBR291C",77,13,10,2
"YBR292C",58,34,23,7
"YBR296C",45,6,4,9
"YBR298C",36,67,34,50
"YBR302C",147,114,31,19
"YBL107W-A",79,73,34,34
"YBL102W",178,125,44,22
"YBL100W-B/YBL100W-A",52,26,20,27
"YBL099W",1133,674,200,143
"YBL098W",51,58,32,21
"YBL095W",120,53,14,13
"YBL092W",9216,8892,3364,2032
"YBL090W",64,23,7,3
"YBL089W",80,11,8,6
"YBL085W",128,126,49,68
"YBL081W",515,57,16,18
"YBL079W",1535,655,292,234
"YBL073W",88,57,11,0
"YBL071W-A",121,109,36,46
"YBL069W/YBL068W-A",179,77,33,25
"YBL068W",561,407,75,48
"YBL063W",71,17,9,9
"YBL059W",52,22,11,3
"YBL058W",341,219,62,34
"YBL056W",211,155,64,24
"YBL054W",452,138,34,23
"YBL050W",307,285,78,48
"YBL041W",433,478,171,72
"YBL039W-B",47,26,16,14
"YBL038W",254,125,20,20
"YBL037W",73,46,26,19
"YBL032W",564,280,52,44
"YBL029W",56,93,39,20
"YBL027W",3439,3270,1394,923
"YBL026W",365,153,41,19
"YBL024W",390,170,37,19
"YBL020W",146,118,37,17
"YBL016W",487,108,25,10
"YBL015W",76,99,42,26
"YBL011W",249,127,69,51
"YBL009W",93,42,13,10
"YBL008W",70,32,19,13
"YBL005W-B/YBL005W-A",967,622,370,352
"YBL004W",430,196,105,96
"YBL002W",2840,2706,913,636
"YBR003W",69,55,12,16
"YBR005W",137,26,12,7
"YBR006W",18,24,11,6
"YBR010W",1627,679,187,179
"YBR012W-B/YBR012W-A",290,245,139,106
"YBR016W",308,330,128,98
"YBR021W",54,18,8,7
"YBR022W",74,23,9,6
"YBR024W",175,89,31,37
"YBR030W",86,39,22,17
"YBR031W",6070,4504,760,145
"YBR032W",94,157,93,38
"YBR033W",14,61,36,11
"YBR038W",188,119,20,14
"YBR039W",456,265,51,33
"YBR041W",204,99,25,21
"YBR048W",2780,3106,1303,958
"YBR054W",43,32,14,5
"YBR056W",60,38,22,12
"YBR071W",86,22,12,22
"YBR072W",156,187,187,639
"YBR073W",272,197,147,327
"YBR074W",217,151,109,201
"YBR076W",2,20,24,58
"YBR078W",714,519,213,109
"YBR083W",311,180,52,63
"YBR084W",930,721,327,205
"YBR087W",251,121,18,12
"YBR094W",189,111,24,21
"YBR096W",686,637,213,69
"YBR097W",80,36,14,7
"YBR103W",89,30,13,12
"YBR104W",355,143,39,28
"YBR106W",18014,13040,5493,1688
"YBR108W",109,88,35,17
"YBR110W",220,111,17,28
"YBR111W-A",171,89,33,16
"YBR114W",65,54,28,21
"YBR118W",15388,13224,5384,5022
"YBR119W",78,189,188,185
"YBR126W-A/YBR126W-B",644,502,262,155
"YBR135W",229,168,70,41
"YBR136W",80,48,42,20
"YBR137W",134,111,42,12
"YBR139W",117,103,45,19
"YBR142W",232,120,38,23
"YBR145W",41,28,8,13
"YBR146W",287,75,23,10
"YBR148W",55,95,36,51
"YBR149W",468,466,196,111
"YBR151W",222,191,51,31
"YBR153W",100,27,8,10
"YBR155W",372,269,95,35
"YBR158W",881,305,126,104
"YBR159W",229,228,63,31
"YBR160W",370,197,39,17
"YBR161W",78,86,40,41
"YBR162W-A",799,594,255,88
"YBR163W",256,104,47,58
"YBR168W",62,22,13,15
"YBR171W",379,275,104,39
"YBR175W",357,101,30,39
"YBR176W",88,55,13,4
"YBR183W",39,47,26,44
"YBR187W",307,194,84,43
"YBR189W",23200,17753,8919,3716
"YBR190W/YBR191W",23,60,49,28
"YBR191W-A",5274,4723,1542,949
"YBR192W",96,29,20,11
"YBR199W",204,169,45,21
"YBR200W",179,136,58,50
"YBR201W",86,27,7,14
"YBR202W",199,50,38,19
"YBR203W",11,13,15,9
"YBR205W/YBR206W",1055,752,344,194
"YBR207W",282,73,21,22
"YBR210W",50,49,11,5
"YBR212W",154,155,56,72
"YBR213W",65,32,7,8
"YBR214W",38,62,39,62
"YBR215W",109,31,18,14
"YBR224W/YBR225W",32,20,5,6
"YBR228W",56,13,9,6
"YBR230W-A",99,92,49,39
"YBR233W",125,71,27,21
"YBR233W-A",149,98,10,7
"YBR235W",183,102,39,17
"YBR242W",304,178,51,8
"YBR244W",3682,2646,658,147
"YBR246W",263,71,40,18
"YBR251W",222,70,14,15
"YBR252W",621,436,203,70
"YBR253W",173,102,33,33
"YBR257W",95,18,3,7
"YBR259W",77,22,17,9
"YBR263W",690,461,237,178
"YBR265W",208,127,42,21
"YBR267W",345,25,8,5
"YBR268W",229,106,30,12
"YBR271W",172,73,11,9
"YBR274W",64,25,7,8
"YBR278W",339,219,93,40
"YBR279W",144,77,30,24
"YBR282W",550,181,29,24
"YBR286W",1768,1648,647,302
"YBR287W",100,72,52,26
"YBR289W",134,95,36,62
"YBR290W",172,63,11,25
"YBR293W",67,47,20,12
"YBR297W",31,68,48,35
"YCL064C",1738,1245,310,138
"YCL061C",97,35,18,16
"YCL059C",391,386,166,60
"YCL057C-A",1198,921,284,90
"YCL056C",57,35,14,8
"YCL052C",45,46,33,21
"YCL050C",341,480,236,272
"YCL049C",156,92,26,13
"YCL047C",116,131,42,47
"YCL045C",877,622,211,153
"YCL044C",148,108,28,47
"YCL043C/YCL041C",2894,2103,893,484
"YCL035C",132,144,54,42
"YCL033C",106,104,30,28
"YCL031C",184,107,36,46
"YCL030C",242,194,75,35
"YCL029C",75,17,6,8
"YCL026C-B",47,55,30,18
"YCL025C",79,42,28,16
"YCL017C",320,215,94,64
"YCL012C",110,50,22,27
"YCL011C",824,522,247,121
"YCL009C",2088,1859,836,683
"YCL008C",215,125,50,35
"YCL007C",32,52,32,11
"YCL002C",129,52,14,15
"YCR002C",194,145,38,20
"YCR004C",349,367,131,132
"YCR005C",707,471,305,397
"YCR009C",224,239,79,32
"YCR011C",542,372,117,61
"YCR015C",86,92,52,17
"YCR017C",348,262,91,43
"YCR018C",106,68,24,15
"YCR020C",25,51,28,73
"YCR020C-A",162,181,89,66
"YCR021C",44,106,46,98
"YCR023C",155,97,55,27
"YCR024C",65,77,55,30
"YCR024C-B",2130,1458,419,341
"YCR026C",180,75,46,19
"YCR027C",116,23,10,4
"YCR028C",61,30,33,7
"YCR028C-A",386,360,139,97
"YCR030C",234,242,131,116
"YCR031C",11959,9878,4417,2047
"YCR035C",283,82,10,16
"YCR037C",140,79,31,17
"YCR038C/YCR039C",78,83,50,33
"YCR042C",284,124,47,43
"YCR043C",148,107,33,18
"YCR044C",131,82,16,11
"YCR046C",360,216,47,20
"YCR047C",354,105,9,8
"YCR057C",309,114,31,18
"YCR059C",294,171,70,49
"YCR067C",181,100,27,13
"YCR071C",128,45,11,8
"YCR072C",1094,287,44,38
"YCR076C",147,79,38,23
"YCR077C",231,136,49,50
"YCR084C",135,74,27,24
"YCR087C-A",389,294,99,38
"YCR090C",688,450,142,37
"YCR092C",47,13,9,5
"YCL063W",111,53,18,20
"YCL058W-A",322,82,16,13
"YCL057W",355,256,127,110
"YCL055W",131,63,10,7
"YCL054W",681,207,70,77
"YCL051W",93,75,19,26
"YCL042W/YCL040W",536,752,361,312
"YCL039W",80,161,133,144
"YCL036W",97,15,18,4
"YCL034W",176,85,21,12
"YCL032W",128,64,35,36
"YCL028W",282,290,108,66
"YCL027W",76,13,6,4
"YCL024W",73,64,29,36
"YCL021W-A",109,90,33,50
